customer_id,orders,revenue,avg_order_value
C04920,18,29798.35,1655.4638888888887
C02260,59,28435.96,481.96542372881356
C04815,43,26977.949999999997,627.3941860465115
C04296,40,24650.7,616.2675
C02090,37,24503.8,662.2648648648649
C00551,41,21910.9,534.4121951219513
C04120,18,21627.11,1201.506111111111
C01422,21,20429.82,972.8485714285714
C02025,19,20103.5,1058.078947368421
C01962,40,19666.19,491.65475
C04730,27,19394.8,718.3259259259258
C04791,22,18193.23,826.965
C01210,22,18089.2,822.2363636363636
C04153,39,17851.2,457.7230769230769
C01831,28,17776.29,634.8675000000001
C04159,25,17743.66,709.7464
C01262,30,17554.89,585.163
C01508,20,17525.33,876.2665000000001
C01474,27,17521.079999999998,648.9288888888888
C04774,18,17455.65,969.7583333333334
C03501,32,17352.25,542.2578125
C01430,20,16729.53,836.4765
C01571,30,16505.05,550.1683333333333
C04334,19,15893.26,836.4873684210527
C02072,34,15853.74,466.28647058823526
C03982,29,15815.51,545.3624137931034
C03753,30,15687.76,522.9253333333334
C02858,23,15625.63,679.3752173913043
C02323,21,15025.349999999999,715.492857142857
C03583,15,14487.949999999999,965.8633333333332
C03264,18,14240.85,791.1583333333333
C01890,26,14162.72,544.72
C01013,33,14016.63,424.74636363636364
C03898,17,13681.96,804.8211764705882
C01921,27,13561.75,502.287037037037
C01291,34,13545.51,398.39735294117645
C04697,19,13486.79,709.831052631579
C00355,36,13448.61,373.5725
C02222,22,13425.300000000001,610.2409090909091
C03213,73,13413.3,183.74383561643833
C04579,18,13335.25,740.8472222222222
C02357,19,13281.56,699.0294736842105
C03533,19,12958.47,682.0247368421052
C04643,12,12953.27,1079.4391666666668
C04301,22,12924.94,587.4972727272727
C03250,17,12895.08,758.5341176470588
C04136,38,12790.4,336.58947368421053
C03394,57,12718.07,223.1240350877193
C04145,19,12546.18,660.3252631578947
C01540,23,12405.7,539.3782608695652
C04154,24,12319.9,513.3291666666667
C00487,24,12278.72,511.6133333333333
C02142,16,12205.7,762.85625
C02015,19,12142.02,639.0536842105263
C01322,25,12042.99,481.7196
C04893,22,12010.19,545.9177272727273
C02636,19,11974.65,630.2447368421052
C02492,19,11959.539999999999,629.4494736842105
C02171,14,11904.97,850.3549999999999
C01528,11,11852.63,1077.5118181818182
C01138,22,11818.39,537.1995454545454
C01643,21,11792.26,561.5361904761905
C04370,18,11762.73,653.485
C01488,29,11724.0,404.2758620689655
C04384,25,11695.57,467.8228
C01096,18,11665.82,648.1011111111111
C00458,15,11615.26,774.3506666666667
C01282,8,11609.869999999999,1451.2337499999999
C04619,27,11599.01,429.592962962963
C02526,74,11389.86,153.91702702702705
C03095,18,11355.41,630.8561111111111
C04018,20,11335.710000000001,566.7855000000001
C02655,25,11223.99,448.95959999999997
C02670,21,11217.78,534.1800000000001
C03507,16,11164.949999999999,697.8093749999999
C03683,15,11066.69,737.7793333333334
C00399,13,11007.16,846.7046153846154
C00722,24,10924.5,455.1875
C03322,11,10916.789999999999,992.4354545454545
C00581,18,10889.86,604.9922222222223
C04267,18,10821.66,601.2033333333334
C01343,8,10793.16,1349.145
C01153,40,10712.66,267.8165
C04708,20,10668.42,533.421
C04747,16,10654.33,665.895625
C03834,22,10644.88,483.8581818181818
C01423,15,10602.02,706.8013333333333
C03530,18,10581.61,587.8672222222223
C03806,54,10577.529999999999,195.88018518518516
C02827,12,10575.22,881.2683333333333
C01830,14,10574.1,755.2928571428572
C03979,18,10566.92,587.0511111111111
C00366,15,10531.45,702.0966666666667
C03876,20,10509.130000000001,525.4565
C03874,46,10485.01,227.935
C00497,17,10433.26,613.7211764705883
C04837,26,10400.75,400.02884615384613
C03461,24,10396.48,433.18666666666667
C00400,12,10347.61,862.3008333333333
C04359,15,10339.23,689.2819999999999
C03355,11,10292.699999999999,935.6999999999999
C04925,6,10273.900000000001,1712.3166666666668
C00918,60,10238.59,170.64316666666667
C01590,57,10215.93,179.22684210526316
C01594,13,10202.9,784.8384615384615
C01624,80,10200.02,127.50025000000001
C01149,14,10177.9,726.9928571428571
C01995,13,10172.91,782.5315384615385
C02263,18,10168.62,564.9233333333334
C03951,19,10159.689999999999,534.7205263157894
C01070,20,10105.87,505.29350000000005
C01678,18,10094.75,560.8194444444445
C00742,57,10078.64,176.81824561403508
C03988,19,10044.49,528.6573684210526
C02767,16,9994.69,624.668125
C01458,12,9796.31,816.3591666666666
C00907,22,9780.51,444.56863636363636
C01944,55,9740.44,177.0989090909091
C01479,18,9676.6,537.588888888889
C03424,12,9625.44,802.12
C00845,75,9593.18,127.90906666666667
C03986,45,9583.96,212.97688888888888
C02833,17,9522.74,560.1611764705882
C04502,21,9490.78,451.94190476190477
C03831,13,9475.64,728.8953846153846
C04801,24,9455.97,393.99875
C02056,22,9439.23,429.0559090909091
C00141,19,9423.82,495.99052631578945
C01125,10,9349.949999999999,934.9949999999999
C03472,16,9334.28,583.3925
C04396,11,9330.4,848.2181818181817
C04698,19,9267.61,487.7689473684211
C03992,14,9239.86,659.99
C00945,12,9228.65,769.0541666666667
C03920,16,9202.67,575.166875
C03056,15,9151.039999999999,610.0693333333332
C03062,12,9142.55,761.8791666666666
C00546,13,9135.47,702.7284615384615
C02007,13,9082.19,698.63
C04168,22,9043.23,411.0559090909091
C01923,20,9040.34,452.017
C01244,32,9040.28,282.50875
C03557,17,9010.73,530.0429411764705
C04776,52,8974.289999999999,172.58249999999998
C03967,18,8933.78,496.3211111111111
C03588,11,8929.64,811.7854545454545
C01964,25,8924.18,356.9672
C00626,12,8915.26,742.9383333333334
C04597,11,8911.64,810.1490909090909
C02843,13,8884.880000000001,683.4523076923077
C03295,9,8882.57,986.9522222222222
C03568,19,8872.02,466.9484210526316
C04073,19,8845.05,465.52894736842103
C02102,39,8830.55,226.42435897435897
C01558,13,8788.130000000001,676.0100000000001
C02023,43,8762.69,203.78348837209305
C03299,15,8715.79,581.0526666666667
C01725,14,8678.689999999999,619.9064285714285
C00683,56,8624.76,154.01357142857142
C01495,11,8578.18,779.8345454545455
C01828,10,8573.31,857.3309999999999
C02542,13,8545.04,657.3107692307693
C00550,17,8475.11,498.5358823529412
C00966,18,8445.6,469.20000000000005
C02034,12,8424.58,702.0483333333333
C01427,58,8424.16,145.2441379310345
C01480,21,8417.11,400.81476190476195
C01145,19,8415.79,442.9363157894737
C03886,43,8396.42,195.26558139534885
C04507,15,8369.16,557.944
C02867,12,8366.4,697.1999999999999
C03453,56,8360.3,149.29107142857143
C02971,15,8348.44,556.5626666666667
C01566,12,8347.21,695.6008333333333
C00889,33,8345.67,252.89909090909092
C00322,10,8257.619999999999,825.762
C04912,18,8257.44,458.74666666666667
C00651,10,8248.91,824.891
C03192,39,8246.28,211.44307692307694
C00896,29,8237.119999999999,284.03862068965515
C04660,57,8234.08,144.45754385964912
C01708,17,8180.64,481.21411764705886
C01365,16,8154.22,509.63875
C04825,13,8153.6900000000005,627.2069230769231
C01154,37,8150.17,220.27486486486487
C04632,12,8144.38,678.6983333333334
C03474,16,8134.03,508.376875
C00678,10,8130.629999999999,813.0629999999999
C04170,13,8120.03,624.6176923076923
C02415,10,8096.93,809.693
C04079,35,8069.16,230.54742857142855
C00237,15,8055.39,537.0260000000001
C00111,19,8029.17,422.5878947368421
C02065,12,7999.299999999999,666.6083333333332
C00748,15,7984.34,532.2893333333334
C03023,17,7919.23,465.8370588235294
C03858,18,7916.94,439.83
C00359,12,7903.36,658.6133333333333
C04446,28,7891.22,281.82928571428573
C04976,15,7843.38,522.892
C01812,20,7829.099999999999,391.455
C02819,23,7789.38,338.66869565217394
C00415,60,7767.92,129.46533333333335
C04019,36,7761.94,215.60944444444442
C04757,5,7756.400000000001,1551.2800000000002
C03454,46,7752.39,168.53021739130435
C01019,47,7749.7300000000005,164.88787234042553
C01545,15,7740.610000000001,516.0406666666667
C01358,10,7722.4800000000005,772.248
C00417,47,7710.15,164.04574468085104
C00592,9,7708.82,856.5355555555556
C00486,16,7698.11,481.131875
C00107,16,7634.27,477.141875
C00481,15,7575.26,505.01733333333334
C03966,31,7539.51,243.21
C04842,18,7530.68,418.37111111111113
C01872,14,7529.9800000000005,537.8557142857143
C00126,11,7517.15,683.3772727272727
C01467,20,7515.0199999999995,375.751
C01349,11,7508.71,682.61
C02724,13,7488.28,576.0215384615384
C02458,47,7438.9,158.27446808510638
C01669,41,7432.33,181.27634146341464
C03595,37,7428.68,200.77513513513514
C01332,11,7412.59,673.8718181818182
C01208,17,7395.39,435.0229411764706
C00964,18,7375.530000000001,409.7516666666667
C00477,20,7359.31,367.9655
C00792,8,7356.7,919.5875
C00760,14,7340.67,524.3335714285714
C01035,15,7285.55,485.7033333333333
C04128,18,7255.25,403.06944444444446
C00469,23,7252.51,315.32652173913044
C00368,38,7244.150000000001,190.6355263157895
C00222,11,7236.67,657.8790909090909
C00437,29,7204.59,248.43413793103448
C00608,37,7137.76,192.91243243243244
C02900,10,7128.69,712.8689999999999
C01843,28,7117.14,254.18357142857144
C00062,14,7116.17,508.29785714285714
C01808,10,7064.379999999999,706.4379999999999
C03634,11,7050.24,640.930909090909
C01838,13,7031.74,540.9030769230769
C00670,18,7012.18,389.5655555555556
C03261,47,7005.15,149.04574468085104
C02706,23,6957.570000000001,302.5030434782609
C01010,13,6931.650000000001,533.2038461538461
C01395,43,6919.4400000000005,160.9172093023256
C01230,38,6918.28,182.06
C00933,15,6907.13,460.47533333333337
C00250,9,6904.599999999999,767.1777777777777
C02674,15,6879.04,458.60266666666666
C02632,16,6877.81,429.863125
C03199,38,6875.67,180.9386842105263
C02915,6,6866.9400000000005,1144.49
C00759,29,6861.13,236.5906896551724
C00339,26,6859.37,263.8219230769231
C01159,11,6848.639999999999,622.6036363636363
C03376,12,6840.049999999999,570.0041666666666
C01002,16,6815.26,425.95375
C02390,51,6775.26,132.84823529411764
C04517,10,6773.620000000001,677.3620000000001
C04709,19,6769.639999999999,356.2968421052631
C01810,34,6767.04,199.03058823529412
C01038,10,6751.13,675.113
C01825,16,6733.7699999999995,420.86062499999997
C00471,10,6728.11,672.8109999999999
C04232,23,6726.09,292.4386956521739
C02477,9,6710.57,745.6188888888888
C01394,21,6687.29,318.442380952381
C04286,46,6676.15,145.1336956521739
C02210,27,6647.68,246.21037037037038
C02489,28,6640.7699999999995,237.1703571428571
C01228,8,6628.54,828.5675
C00949,24,6621.65,275.90208333333334
C02922,34,6621.26,194.7429411764706
C04007,24,6618.19,275.75791666666663
C02276,45,6595.51,146.56688888888888
C02996,17,6574.7699999999995,386.75117647058823
C02445,13,6560.3,504.63846153846157
C01373,17,6539.13,384.65470588235297
C04673,36,6531.9400000000005,181.4427777777778
C02677,12,6508.4800000000005,542.3733333333333
C01917,21,6456.69,307.46142857142854
C02471,16,6455.29,403.455625
C03358,13,6446.0599999999995,495.8507692307692
C03070,4,6423.0599999999995,1605.7649999999999
C02860,13,6403.49,492.57615384615383
C00052,32,6393.84,199.8075
C00636,14,6384.03,456.0021428571428
C03880,12,6365.81,530.4841666666667
C02896,15,6343.13,422.87533333333334
C02567,26,6317.62,242.98538461538462
C04592,14,6314.01,451.0007142857143
C04305,36,6309.46,175.26277777777779
C04448,9,6306.58,700.7311111111111
C04337,49,6272.64,128.0130612244898
C03693,30,6261.49,208.71633333333332
C00015,11,6258.26,568.9327272727273
C01977,15,6248.78,416.5853333333333
C01907,6,6242.84,1040.4733333333334
C03308,41,6237.52,152.13463414634148
C00119,14,6233.3099999999995,445.2364285714285
C03720,11,6223.2,565.7454545454545
C02953,44,6222.54,141.42136363636362
C04826,11,6217.08,565.1890909090909
C00723,47,6216.33,132.2623404255319
C01567,42,6206.42,147.77190476190475
C01470,19,6200.67,326.35105263157897
C00272,40,6198.95,154.97375
C04625,37,6189.0599999999995,167.27189189189187
C00684,15,6186.09,412.406
C00474,31,6176.24,199.23354838709676
C01726,29,6171.02,212.79379310344828
C01930,20,6163.91,308.1955
C01493,19,6155.31,323.9636842105263
C00740,9,6149.47,683.2744444444445
C01769,24,6146.92,256.12166666666667
C00375,44,6144.93,139.6575
C02296,38,6144.9,161.7078947368421
C00286,7,6136.62,876.66
C00364,29,6133.24,211.4910344827586
C03128,22,6128.33,278.56045454545455
C02368,7,6127.99,875.4271428571428
C03776,7,6120.87,874.41
C02672,17,6117.97,359.8805882352941
C00539,29,6109.24,210.66344827586207
C01433,37,6066.67,163.96405405405406
C01315,19,6043.34,318.0705263157895
C00729,13,6036.5,464.34615384615387
C03660,40,6036.5,150.9125
